PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,NewFEN,NewMoves,PGNText
02iyq,4r1k1/pp3p1p/q1p2Np1/3nP1Q1/8/1P1P3P/P3R1P1/7K b - - 1 28,d5f6 e5f6 e8e2 g5h6 e2e1 h1h2 e1h1 h2h1 c6c5 h6g7,1742,75,92,924,endgame mate mateIn5 sacrifice veryLong,https://lichess.org/rpyv9rFS/black#56,,4r1k1/pp3p1p/q1p2np1/4P1Q1/8/1P1P3P/P3R1P1/7K w - - 1 28,e5f6 e8e2 g5h6 e2e1 h1h2 e1h1 h2h1 c6c5 h6g7,[Event "Mate in 5\\https://lichess.org/rpyv9rFS/black#56"][FEN "4r1k1/pp3p1p/q1p2np1/4P1Q1/8/1P1P3P/P3R1P1/7K w - - 1 28"]1. e5 {e5f6 e8e2 g5h6 e2e1 h1h2 e1h1 h2h1 c6c5 h6g7 (1-0)} *
051YJ,7k/pp2q1p1/1n2p1Bp/1b3pN1/1n1P3P/8/PP1K1PP1/1Q5R b - - 0 24,h6g5 h4g5 h8g8 h1h8 g8h8 b1h1 h8g8 h1h7 g8f8 h7h8,1585,74,95,20899,attraction discoveredAttack kingsideAttack mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/BLp2HacV/black#48,,7k/pp2q1p1/1n2p1B1/1b3pp1/1n1P3P/8/PP1K1PP1/1Q5R w - - 0 24,h4g5 h8g8 h1h8 g8h8 b1h1 h8g8 h1h7 g8f8 h7h8,[Event "Mate in 5\\https://lichess.org/BLp2HacV/black#48"][FEN "7k/pp2q1p1/1n2p1B1/1b3pp1/1n1P3P/8/PP1K1PP1/1Q5R w - - 0 24"]1. h4 {h4g5 h8g8 h1h8 g8h8 b1h1 h8g8 h1h7 g8f8 h7h8 (1-0)} *
065sJ,3rr2k/3qn1pp/p3R3/1p3p1Q/7R/2P4P/PP3PP1/6K1 b - - 9 27,h7h6 e6h6 g7h6 h5h6 h8g8 h6h8 g8f7 h4h7 f7e6 h7h6 e7g6 h6g6 e6d5 h8d4,2274,83,39,113,kingsideAttack mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/WEhie8nq/black#54,,3rr2k/3qn1p1/p3R2p/1p3p1Q/7R/2P4P/PP3PP1/6K1 w - - 9 27,e6h6 g7h6 h5h6 h8g8 h6h8 g8f7 h4h7 f7e6 h7h6 e7g6 h6g6 e6d5 h8d4,[Event "Mate in 5\\https://lichess.org/WEhie8nq/black#54"][FEN "3rr2k/3qn1p1/p3R2p/1p3p1Q/7R/2P4P/PP3PP1/6K1 w - - 9 27"]1. e6 {e6h6 g7h6 h5h6 h8g8 h6h8 g8f7 h4h7 f7e6 h7h6 e7g6 h6g6 e6d5 h8d4 (1-0)} *
0Acau,8/5p1k/1pQ4p/p2P2p1/Pb1B1n2/1B3P1P/6PK/4q3 b - - 6 34,f4e2 b3c2 h7g8 c6e8 b4f8 c2h7 g8h7 e8f7 f8g7 f7g7,2146,79,87,315,attraction deflection endgame fork mate mateIn5 sacrifice veryLong,https://lichess.org/Tb8liqCQ/black#68,,8/5p1k/1pQ4p/p2P2p1/Pb1B4/1B3P1P/4n1PK/4q3 w - - 6 34,b3c2 h7g8 c6e8 b4f8 c2h7 g8h7 e8f7 f8g7 f7g7,[Event "Mate in 5\\https://lichess.org/Tb8liqCQ/black#68"][FEN "8/5p1k/1pQ4p/p2P2p1/Pb1B4/1B3P1P/4n1PK/4q3 w - - 6 34"]1. b3 {b3c2 h7g8 c6e8 b4f8 c2h7 g8h7 e8f7 f8g7 f7g7 (1-0)} *
0AdFZ,4r2k/1p2Np1p/p1pQ1P2/2P3r1/6pq/4R3/P5P1/6K1 b - - 4 38,g5h5 e7g6 h7g6 e3e8 h8h7 e8h8 h7h8 d6f8 h8h7 f8g7,1639,317,33,9,attraction discoveredAttack endgame mate mateIn5 sacrifice veryLong,https://lichess.org/rQN4Km9p/black#76,,4r2k/1p2Np1p/p1pQ1P2/2P5/6pq/4R3/P5P1/6K1 w - - 4 38,e7g6 h7g6 e3e8 h8h7 e8h8 h7h8 d6f8 h8h7 f8g7,[Event "Mate in 5\\https://lichess.org/rQN4Km9p/black#76"][FEN "4r2k/1p2Np1p/p1pQ1P2/2P5/6pq/4R3/P5P1/6K1 w - - 4 38"]1. e7 {e7g6 h7g6 e3e8 h8h7 e8h8 h7h8 d6f8 h8h7 f8g7 (1-0)} *
0AtUL,8/pp2k3/2n5/2p1P1N1/4N1n1/2P5/PP4rr/3K1R2 b - - 4 33,g2b2 f1f7 e7d8 g5e6 d8c8 e4d6 c8b8 f7f8 c6d8 f8d8,1654,77,95,22498,exposedKing mate mateIn5 middlegame veryLong,https://lichess.org/31qIehlr/black#66,,8/pp2k3/2n5/2p1P1N1/4N1n1/2P5/PP5r/3K1R2 w - - 4 33,f1f7 e7d8 g5e6 d8c8 e4d6 c8b8 f7f8 c6d8 f8d8,[Event "Mate in 5\\https://lichess.org/31qIehlr/black#66"][FEN "8/pp2k3/2n5/2p1P1N1/4N1n1/2P5/PP5r/3K1R2 w - - 4 33"]1. f1 {f1f7 e7d8 g5e6 d8c8 e4d6 c8b8 f7f8 c6d8 f8d8 (1-0)} *
0BjAV,5R2/8/P7/8/6k1/2b3pp/8/7K w - - 2 52,a6a7 g3g2 h1h2 c3e5 h2g1 e5d4 f8f2 g4g3 a7a8q h3h2,2288,79,85,659,advancedPawn endgame exposedKing mate mateIn5 pin veryLong,https://lichess.org/oPMMTyiN#103,,5R2/P7/8/8/6k1/2b3pp/8/7K b - - 2 52,g3g2 h1h2 c3e5 h2g1 e5d4 f8f2 g4g3 a7a8q h3h2,[Event "Mate in 5\\https://lichess.org/oPMMTyiN#103"][FEN "5R2/P7/8/8/6k1/2b3pp/8/7K b - - 2 52"]1. g3 {g3g2 h1h2 c3e5 h2g1 e5d4 f8f2 g4g3 a7a8q h3h2 (0-1)}  *
0C0Cp,3q1r1k/3Q2pp/4B3/4P3/3P3n/4b3/3N1P1P/5RK1 w - - 0 26,f2e3 d8g5 e6g4 g5e3 g1h1 f8f1 d2f1 e3e4 g4f3 e4f3 h1g1 f3g2,1882,77,87,353,deflection fork mate mateIn5 middlegame veryLong,https://lichess.org/JEtA2tgq#51,,3q1r1k/3Q2pp/4B3/4P3/3P3n/4P3/3N3P/5RK1 b - - 0 26,d8g5 e6g4 g5e3 g1h1 f8f1 d2f1 e3e4 g4f3 e4f3 h1g1 f3g2,[Event "Mate in 5\\https://lichess.org/JEtA2tgq#51"][FEN "3q1r1k/3Q2pp/4B3/4P3/3P3n/4P3/3N3P/5RK1 b - - 0 26"]1. d8 {d8g5 e6g4 g5e3 g1h1 f8f1 d2f1 e3e4 g4f3 e4f3 h1g1 f3g2 (0-1)}  *
0CULL,5rk1/pBp2ppp/5n2/5q2/Q3r3/2B4P/PP2nPPK/R3R3 w - - 3 18,b7e4 f6g4 h3g4 f5f4 g2g3 f4f2 e4g2 f2g3 h2h1 g3h4 g2h3 h4h3,2243,100,24,68,mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/ji9fzq0l#35,French_Defense French_Defense_Knight_Variation,5rk1/p1p2ppp/5n2/5q2/Q3B3/2B4P/PP2nPPK/R3R3 b - - 3 18,f6g4 h3g4 f5f4 g2g3 f4f2 e4g2 f2g3 h2h1 g3h4 g2h3 h4h3,[Event "Mate in 5\\https://lichess.org/ji9fzq0l#35"][FEN "5rk1/p1p2ppp/5n2/5q2/Q3B3/2B4P/PP2nPPK/R3R3 b - - 3 18"]1. f6 {f6g4 h3g4 f5f4 g2g3 f4f2 e4g2 f2g3 h2h1 g3h4 g2h3 h4h3 (0-1)}  *
0CYaa,2r2r1k/4b1pp/4Q3/q2pp1P1/1p1pP3/1P1P4/1PP2PK1/2B4R b - - 3 27,a5c7 h1h7 h8h7 g5g6 h7h8 e6h3 e7h4 h3h4 h8g8 h4h7,2009,77,95,8850,attraction kingsideAttack mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/TNAz8scz/black#54,,2r2r1k/2q1b1pp/4Q3/3pp1P1/1p1pP3/1P1P4/1PP2PK1/2B4R w - - 3 27,h1h7 h8h7 g5g6 h7h8 e6h3 e7h4 h3h4 h8g8 h4h7,[Event "Mate in 5\\https://lichess.org/TNAz8scz/black#54"][FEN "2r2r1k/2q1b1pp/4Q3/3pp1P1/1p1pP3/1P1P4/1PP2PK1/2B4R w - - 3 27"]1. h1 {h1h7 h8h7 g5g6 h7h8 e6h3 e7h4 h3h4 h8g8 h4h7 (1-0)} *
