PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,NewFEN,NewMoves,PGNText
001cr,8/3B2pp/p5k1/2p3P1/1p1p1K2/8/1P6/8 b - - 0 38,c5c4 d7e8,1760,78,92,1032,bishopEndgame endgame mate mateIn1 oneMove,https://lichess.org/7FFNwibw/black#76,,8/3B2pp/p5k1/6P1/1ppp1K2/8/1P6/8 w - - 0 38,d7e8,[Event "Mate in 1\\https://lichess.org/7FFNwibw/black#76"][FEN "8/3B2pp/p5k1/6P1/1ppp1K2/8/1P6/8 w - - 0 38"]1. d7 {d7e8 (1-0)} *
001gi,r6r/1pNk1ppp/2np4/b3p3/4P1b1/N1Q5/P4PPP/R3KB1R w KQ - 3 18,c7a8 a5c3,823,120,62,246,bodenMate hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/1sV2Hr22#35,Sicilian_Defense Sicilian_Defense_Other_variations,N6r/1p1k1ppp/2np4/b3p3/4P1b1/N1Q5/P4PPP/R3KB1R b KQ - 3 18,a5c3,[Event "Mate in 1\\https://lichess.org/1sV2Hr22#35"][FEN "N6r/1p1k1ppp/2np4/b3p3/4P1b1/N1Q5/P4PPP/R3KB1R b KQ - 3 18"]1. a5 {a5c3 (0-1)}  *
001wb,r3k2r/pb1p1ppp/1b4q1/1Q2P3/8/2NP1Pn1/PP4PP/R1B2R1K w kq - 1 17,h2g3 g6h5,1302,77,91,125,mate mateIn1 middlegame oneMove,https://lichess.org/hNzYRMWP#33,Ruy_Lopez Ruy_Lopez_Bird_Variation,r3k2r/pb1p1ppp/1b4q1/1Q2P3/8/2NP1PP1/PP4P1/R1B2R1K b kq - 1 17,g6h5,[Event "Mate in 1\\https://lichess.org/hNzYRMWP#33"][FEN "r3k2r/pb1p1ppp/1b4q1/1Q2P3/8/2NP1PP1/PP4P1/R1B2R1K b kq - 1 17"]1. g6 {g6h5 (0-1)}  *
002CP,r5k1/pp4pp/4p1q1/4p3/3n4/P5P1/1PP2Q1P/2KR1R2 w - - 4 24,f2e3 g6c2,927,81,69,86,endgame mate mateIn1 oneMove queensideAttack,https://lichess.org/pHZnIFdb#47,,r5k1/pp4pp/4p1q1/4p3/3n4/P3Q1P1/1PP4P/2KR1R2 b - - 4 24,g6c2,[Event "Mate in 1\\https://lichess.org/pHZnIFdb#47"][FEN "r5k1/pp4pp/4p1q1/4p3/3n4/P3Q1P1/1PP4P/2KR1R2 b - - 4 24"]1. g6 {g6c2 (0-1)}  *
002Z9,4r1k1/1p2R1p1/p2p2Pp/P1pP4/5q2/1R3p2/1P1Q3P/5B1K b - - 0 34,f4d2 e7e8,1237,99,69,50,endgame hangingPiece master mate mateIn1 oneMove,https://lichess.org/Ek4aENjD/black#68,,4r1k1/1p2R1p1/p2p2Pp/P1pP4/8/1R3p2/1P1q3P/5B1K w - - 0 34,e7e8,[Event "Mate in 1\\https://lichess.org/Ek4aENjD/black#68"][FEN "4r1k1/1p2R1p1/p2p2Pp/P1pP4/8/1R3p2/1P1q3P/5B1K w - - 0 34"]1. e7 {e7e8 (1-0)} *
002vV,8/6k1/2R4p/5p1P/5P1K/6P1/8/r7 w - - 2 58,c6b6 a1h1,461,99,100,314,endgame master mate mateIn1 oneMove rookEndgame,https://lichess.org/KB7FAntf#115,,8/6k1/7p/5p1P/5P1K/6P1/8/r7 b - - 2 58,a1h1,[Event "Mate in 1\\https://lichess.org/KB7FAntf#115"][FEN "8/6k1/7p/5p1P/5P1K/6P1/8/r7 b - - 2 58"]1. a1 {a1h1 (0-1)}  *
003AX,2r2rk1/5ppp/bq2p3/p1ppP1N1/Pb1P2P1/1P2P2P/2QN4/2R1K2R b K - 1 18,c5d4 c2h7,1088,75,97,469,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/kRgejRSt/black#36,French_Defense French_Defense_Advance_Variation,2r2rk1/5ppp/bq2p3/p2pP1N1/Pb1p2P1/1P2P2P/2QN4/2R1K2R w K - 1 18,c2h7,[Event "Mate in 1\\https://lichess.org/kRgejRSt/black#36"][FEN "2r2rk1/5ppp/bq2p3/p2pP1N1/Pb1p2P1/1P2P2P/2QN4/2R1K2R w K - 1 18"]1. c2 {c2h7 (1-0)} *
003IX,8/3pk3/R7/1R2Pp1p/2PPnKr1/8/8/8 w - - 4 43,f4f5 e4g3,1703,74,90,1477,endgame mate mateIn1 oneMove,https://lichess.org/576Btq56#85,,8/3pk3/R7/1R2PK1p/2PPn1r1/8/8/8 b - - 4 43,e4g3,[Event "Mate in 1\\https://lichess.org/576Btq56#85"][FEN "8/3pk3/R7/1R2PK1p/2PPn1r1/8/8/8 b - - 4 43"]1. e4 {e4g3 (0-1)}  *
003YF,r4rk1/1pp2ppp/p2p4/2bPp3/2P1Pn1q/P1N2B2/1P3P2/R1BQK1R1 w Q - 1 15,c1f4 h4f2,1103,89,78,64,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/5DK4vDDB#29,Mexican_Defense Mexican_Defense_Other_variations,r4rk1/1pp2ppp/p2p4/2bPp3/2P1PB1q/P1N2B2/1P3P2/R2QK1R1 b Q - 1 15,h4f2,[Event "Mate in 1\\https://lichess.org/5DK4vDDB#29"][FEN "r4rk1/1pp2ppp/p2p4/2bPp3/2P1PB1q/P1N2B2/1P3P2/R2QK1R1 b Q - 1 15"]1. h4 {h4f2 (0-1)}  *
004JD,3r4/R7/2p5/p1P2p2/1p4k1/nP6/P2KNP2/8 w - - 3 41,d2e3 a3c2,1240,76,91,2703,endgame mate mateIn1 oneMove,https://lichess.org/6vTeEc3x#81,,3r4/R7/2p5/p1P2p2/1p4k1/nP2K3/P3NP2/8 b - - 3 41,a3c2,[Event "Mate in 1\\https://lichess.org/6vTeEc3x#81"][FEN "3r4/R7/2p5/p1P2p2/1p4k1/nP2K3/P3NP2/8 b - - 3 41"]1. a3 {a3c2 (0-1)}  *
004WZ,r6k/1b3pp1/p1q1pn1p/2p5/P1B5/1PN4Q/2P1RP1P/R4Kr1 w - - 2 26,f1g1 c6h1,908,80,93,103,mate mateIn1 middlegame oneMove,https://lichess.org/BQIdXPOM#51,,r6k/1b3pp1/p1q1pn1p/2p5/P1B5/1PN4Q/2P1RP1P/R5r1 b - - 2 26,c6h1,[Event "Mate in 1\\https://lichess.org/BQIdXPOM#51"][FEN "r6k/1b3pp1/p1q1pn1p/2p5/P1B5/1PN4Q/2P1RP1P/R5r1 b - - 2 26"]1. c6 {c6h1 (0-1)}  *
004iZ,r2r2k1/2q1bpp1/3p1n1p/1ppN4/1P1BP3/P5Q1/4RPPP/R5K1 b - - 1 20,f6d5 g3g7,459,99,89,931,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/dQ85JUe1/black#40,,r2r2k1/2q1bpp1/3p3p/1ppn4/1P1BP3/P5Q1/4RPPP/R5K1 w - - 1 20,g3g7,[Event "Mate in 1\\https://lichess.org/dQ85JUe1/black#40"][FEN "r2r2k1/2q1bpp1/3p3p/1ppn4/1P1BP3/P5Q1/4RPPP/R5K1 w - - 1 20"]1. g3 {g3g7 (1-0)} *
004zI,2q3k1/4br1p/6RQ/1p1n2p1/7P/1P4P1/1B2PP2/6K1 b - - 0 27,h7g6 h6h8,1443,75,79,316,endgame mate mateIn1 oneMove,https://lichess.org/HE33gdt4/black#54,,2q3k1/4br2/6pQ/1p1n2p1/7P/1P4P1/1B2PP2/6K1 w - - 0 27,h6h8,[Event "Mate in 1\\https://lichess.org/HE33gdt4/black#54"][FEN "2q3k1/4br2/6pQ/1p1n2p1/7P/1P4P1/1B2PP2/6K1 w - - 0 27"]1. h6 {h6h8 (1-0)} *
006GK,2kr1br1/ppBb1ppp/8/3P2Q1/3n2n1/5N2/PP3qPP/RN2R2K b - - 0 16,d4f3 g5d8,1086,145,71,18,mate mateIn1 oneMove opening queensideAttack,https://lichess.org/CSpoYrv7/black#32,Italian_Game Italian_Game_Two_Knights_Defense,2kr1br1/ppBb1ppp/8/3P2Q1/6n1/5n2/PP3qPP/RN2R2K w - - 0 16,g5d8,[Event "Mate in 1\\https://lichess.org/CSpoYrv7/black#32"][FEN "2kr1br1/ppBb1ppp/8/3P2Q1/6n1/5n2/PP3qPP/RN2R2K w - - 0 16"]1. g5 {g5d8 (1-0)} *
007HB,rn2q1k1/pp3ppp/2pb4/3p1B2/2Pn4/1Q3N2/PP3PPP/R1B4K w - - 0 15,f3d4 e8e1,520,89,93,146,mate mateIn1 middlegame oneMove,https://lichess.org/prYQo0BK#29,Petrovs_Defense Petrovs_Defense_Classical_Attack,rn2q1k1/pp3ppp/2pb4/3p1B2/2PN4/1Q6/PP3PPP/R1B4K b - - 0 15,e8e1,[Event "Mate in 1\\https://lichess.org/prYQo0BK#29"][FEN "rn2q1k1/pp3ppp/2pb4/3p1B2/2PN4/1Q6/PP3PPP/R1B4K b - - 0 15"]1. e8 {e8e1 (0-1)}  *
007c6,2kr3r/pp1n2pp/2QB1bp1/5q2/2B5/8/PPP2PPP/3R1RK1 b - - 0 17,b7c6 c4a6,723,79,56,156,bodenMate mate mateIn1 middlegame oneMove,https://lichess.org/vqwzqZHC/black#34,Elephant_Gambit Elephant_Gambit_Other_variations,2kr3r/p2n2pp/2pB1bp1/5q2/2B5/8/PPP2PPP/3R1RK1 w - - 0 17,c4a6,[Event "Mate in 1\\https://lichess.org/vqwzqZHC/black#34"][FEN "2kr3r/p2n2pp/2pB1bp1/5q2/2B5/8/PPP2PPP/3R1RK1 w - - 0 17"]1. c4 {c4a6 (1-0)} *
