PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,NewFEN,NewMoves,PGNText
001wR,6nr/pp3p1p/k1p5/8/1QN5/2P1P3/4KPqP/8 b - - 5 26,b7b5 b4a5 a6b7 c4d6 b7b8 a5d8,1257,74,95,2192,endgame long mate mateIn3,https://lichess.org/ruvbd9JW/black#52,,6nr/p4p1p/k1p5/1p6/1QN5/2P1P3/4KPqP/8 w - - 5 26,b4a5 a6b7 c4d6 b7b8 a5d8,[Event "Mate in 3\\https://lichess.org/ruvbd9JW/black#52"][FEN "6nr/p4p1p/k1p5/1p6/1QN5/2P1P3/4KPqP/8 w - - 5 26"]1. b4 {b4a5 a6b7 c4d6 b7b8 a5d8 (1-0)} *
004kB,4rr1k/pQpn2pp/3p1q2/8/8/2P5/PP3PPP/RN3RK1 w - - 1 16,b7c7 f6f2 f1f2 e8e1 f2f1 e1f1,1209,76,60,192,kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/Cl9T6bjt#31,Ruy_Lopez Ruy_Lopez_Steinitz_Defense,4rr1k/p1pn2pp/3p1q2/8/8/2P5/PP3PPP/RN3RK1 b - - 1 16,f6f2 f1f2 e8e1 f2f1 e1f1,[Event "Mate in 3\\https://lichess.org/Cl9T6bjt#31"][FEN "4rr1k/p1pn2pp/3p1q2/8/8/2P5/PP3PPP/RN3RK1 b - - 1 16"]1. f6 {f6f2 f1f2 e8e1 f2f1 e1f1 (0-1)}  *
005wy,1r6/pp2kpp1/2n1p1n1/3p2PQ/5P2/2PqP3/PP1N4/2KR3R w - - 3 27,h5h7 c6b4 c3b4 b8c8 d2c4 c8c4,1883,75,94,4330,long mate mateIn3 middlegame queensideAttack sacrifice,https://lichess.org/mBQMheB4#53,,1r6/pp2kppQ/2n1p1n1/3p2P1/5P2/2PqP3/PP1N4/2KR3R b - - 3 27,c6b4 c3b4 b8c8 d2c4 c8c4,[Event "Mate in 3\\https://lichess.org/mBQMheB4#53"][FEN "1r6/pp2kppQ/2n1p1n1/3p2P1/5P2/2PqP3/PP1N4/2KR3R b - - 3 27"]1. c6 {c6b4 c3b4 b8c8 d2c4 c8c4 (0-1)}  *
007en,rn3rk1/4pp1p/3p2pB/2q4P/3bP1b1/Pp2Q3/1P2B3/1K1R2NR w - - 0 20,e3d4 c5c2 b1a1 a8a3 b2a3 c2a2,1924,75,97,645,long mate mateIn3 middlegame queensideAttack sacrifice,https://lichess.org/jzE2yKAk#39,,rn3rk1/4pp1p/3p2pB/2q4P/3QP1b1/Pp6/1P2B3/1K1R2NR b - - 0 20,c5c2 b1a1 a8a3 b2a3 c2a2,[Event "Mate in 3\\https://lichess.org/jzE2yKAk#39"][FEN "rn3rk1/4pp1p/3p2pB/2q4P/3QP1b1/Pp6/1P2B3/1K1R2NR b - - 0 20"]1. c5 {c5c2 b1a1 a8a3 b2a3 c2a2 (0-1)}  *
00Aq4,2k1r3/pppn1pp1/3b2b1/3p2Pp/2B2P2/3P3P/PPPR4/2K3NR w - - 0 18,c4d5 e8e1 d2d1 d6f4 c1b1 e1d1,1490,104,48,106,backRankMate deflection long mate mateIn3 middlegame,https://lichess.org/VIBqOZyc#35,Scandinavian_Defense Scandinavian_Defense_Main_Line,2k1r3/pppn1pp1/3b2b1/3B2Pp/5P2/3P3P/PPPR4/2K3NR b - - 0 18,e8e1 d2d1 d6f4 c1b1 e1d1,[Event "Mate in 3\\https://lichess.org/VIBqOZyc#35"][FEN "2k1r3/pppn1pp1/3b2b1/3B2Pp/5P2/3P3P/PPPR4/2K3NR b - - 0 18"]1. e8 {e8e1 d2d1 d6f4 c1b1 e1d1 (0-1)}  *
00BrZ,r6r/pp2kb2/3p1p1Q/1N1Pp3/3bP3/P2B2P1/1P4PP/7K w - - 6 28,h6d2 h8h2 h1h2 a8h8 d2h6 h8h6,1399,75,84,438,attraction kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/ANKrgoJi#55,,r6r/pp2kb2/3p1p2/1N1Pp3/3bP3/P2B2P1/1P1Q2PP/7K b - - 6 28,h8h2 h1h2 a8h8 d2h6 h8h6,[Event "Mate in 3\\https://lichess.org/ANKrgoJi#55"][FEN "r6r/pp2kb2/3p1p2/1N1Pp3/3bP3/P2B2P1/1P1Q2PP/7K b - - 6 28"]1. h8 {h8h2 h1h2 a8h8 d2h6 h8h6 (0-1)}  *
00F6y,2k3r1/ppp2prp/1q2b3/8/Q7/2P1R1P1/P4P1P/4R1K1 b - - 3 23,e6d7 e3e8 d7e8 e1e8 g8e8 a4e8,807,99,93,793,long mate mateIn3 middlegame queensideAttack sacrifice,https://lichess.org/Hii0fRVd/black#46,,2k3r1/pppb1prp/1q6/8/Q7/2P1R1P1/P4P1P/4R1K1 w - - 3 23,e3e8 d7e8 e1e8 g8e8 a4e8,[Event "Mate in 3\\https://lichess.org/Hii0fRVd/black#46"][FEN "2k3r1/pppb1prp/1q6/8/Q7/2P1R1P1/P4P1P/4R1K1 w - - 3 23"]1. e3 {e3e8 d7e8 e1e8 g8e8 a4e8 (1-0)} *
00GuD,1n5k/4r1p1/p2q1rPp/1ppB4/8/3P4/PPP1RPQ1/2K4R b - - 4 25,e7e2 h1h6 g7h6 g6g7 h8h7 g7g8q,1175,76,88,558,advancedPawn kingsideAttack long mate mateIn3 middlegame promotion sacrifice,https://lichess.org/zcHeWRaO/black#50,,1n5k/6p1/p2q1rPp/1ppB4/8/3P4/PPP1rPQ1/2K4R w - - 4 25,h1h6 g7h6 g6g7 h8h7 g7g8q,[Event "Mate in 3\\https://lichess.org/zcHeWRaO/black#50"][FEN "1n5k/6p1/p2q1rPp/1ppB4/8/3P4/PPP1rPQ1/2K4R w - - 4 25"]1. h1 {h1h6 g7h6 g6g7 h8h7 g7g8q (1-0)} *
00Ivf,8/2p4r/1p3k2/p2Pp1p1/P1P1RpP1/1P3P1r/4R1K1/8 w - - 7 46,e4e5 h3h2 g2f1 h2h1 f1f2 h7h2,1613,74,89,187,endgame long mate mateIn3 rookEndgame,https://lichess.org/VX0fLjAC#91,,8/2p4r/1p3k2/p2PR1p1/P1P2pP1/1P3P1r/4R1K1/8 b - - 7 46,h3h2 g2f1 h2h1 f1f2 h7h2,[Event "Mate in 3\\https://lichess.org/VX0fLjAC#91"][FEN "8/2p4r/1p3k2/p2PR1p1/P1P2pP1/1P3P1r/4R1K1/8 b - - 7 46"]1. h3 {h3h2 g2f1 h2h1 f1f2 h7h2 (0-1)}  *
00J1t,r1qr3k/pp3pB1/1np1pb2/8/3P3P/2N2PR1/PP1Q2P1/2KR4 b - - 0 22,f6g7 d2g5 d8g8 g5h5 g7h6 h5h6,1655,73,97,11820,exposedKing kingsideAttack long mate mateIn3 middlegame,https://lichess.org/77hjhVfM/black#44,,r1qr3k/pp3pb1/1np1p3/8/3P3P/2N2PR1/PP1Q2P1/2KR4 w - - 0 22,d2g5 d8g8 g5h5 g7h6 h5h6,[Event "Mate in 3\\https://lichess.org/77hjhVfM/black#44"][FEN "r1qr3k/pp3pb1/1np1p3/8/3P3P/2N2PR1/PP1Q2P1/2KR4 w - - 0 22"]1. d2 {d2g5 d8g8 g5h5 g7h6 h5h6 (1-0)} *
00Kbj,8/8/6p1/PR3p2/1P3k2/7P/r5P1/7K w - - 1 39,h3h4 f4g3 b5d5 a2a1 d5d1 a1d1,1407,74,93,15798,endgame long mate mateIn3 rookEndgame,https://lichess.org/PW8a1JvE#77,,8/8/6p1/PR3p2/1P3k1P/8/r5P1/7K b - - 1 39,f4g3 b5d5 a2a1 d5d1 a1d1,[Event "Mate in 3\\https://lichess.org/PW8a1JvE#77"][FEN "8/8/6p1/PR3p2/1P3k1P/8/r5P1/7K b - - 1 39"]1. f4 {f4g3 b5d5 a2a1 d5d1 a1d1 (0-1)}  *
