PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,NewFEN,NewMoves,PGNText
04tpr,7r/7k/p7/1p1NPb2/1P3p1K/P4P2/1P6/R4R2 w - - 1 41,d5f6 h7g6 f6h7 h8h7,1448,80,78,82,discoveredAttack endgame mate mateIn2 short,https://lichess.org/bqzlfafX#81,,7r/7k/p4N2/1p2Pb2/1P3p1K/P4P2/1P6/R4R2 b - - 1 41,h7g6 f6h7 h8h7,[Event "Mate in 2\\https://lichess.org/bqzlfafX#81"][FEN "7r/7k/p4N2/1p2Pb2/1P3p1K/P4P2/1P6/R4R2 b - - 1 41"]1. h7 {h7g6 f6h7 h8h7 (0-1)}  *
04u3m,2kr1b1Q/p7/1p5p/3p1pp1/P3q3/2p1PNPP/P1P3P1/2KR1B1R w - - 0 22,c1b1 e4b4 b1a1 b4b2,1109,88,92,306,mate mateIn2 middlegame queensideAttack short,https://lichess.org/FWR43EQV#43,,2kr1b1Q/p7/1p5p/3p1pp1/P3q3/2p1PNPP/P1P3P1/3R1B1R b - - 0 22,e4b4 b1a1 b4b2,[Event "Mate in 2\\https://lichess.org/FWR43EQV#43"][FEN "2kr1b1Q/p7/1p5p/3p1pp1/P3q3/2p1PNPP/P1P3P1/3R1B1R b - - 0 22"]1. e4 {e4b4 b1a1 b4b2 (0-1)}  *
04vxC,r6k/1bq4p/p4NpQ/5p2/3pp3/1P5R/5PPP/6K1 b - - 3 33,e4e3 h6h7 c7h7 h3h7,1018,118,76,114,arabianMate endgame mate mateIn2 short,https://lichess.org/aYm8cdu3/black#66,,r6k/1bq4p/p4NpQ/5p2/3p4/1P2p2R/5PPP/6K1 w - - 3 33,h6h7 c7h7 h3h7,[Event "Mate in 2\\https://lichess.org/aYm8cdu3/black#66"][FEN "r6k/1bq4p/p4NpQ/5p2/3p4/1P2p2R/5PPP/6K1 w - - 3 33"]1. h6 {h6h7 c7h7 h3h7 (1-0)} *
04wIC,2r3k1/ppr2pPp/4N1b1/3pP3/8/2Pq3P/PP3QP1/R4R1K b - - 0 29,f7e6 f2f8 c8f8 g7f8q,1305,79,79,115,advancedPawn kingsideAttack mate mateIn2 middlegame promotion short,https://lichess.org/ZY0XzPn4/black#58,,2r3k1/ppr3Pp/4p1b1/3pP3/8/2Pq3P/PP3QP1/R4R1K w - - 0 29,f2f8 c8f8 g7f8q,[Event "Mate in 2\\https://lichess.org/ZY0XzPn4/black#58"][FEN "2r3k1/ppr3Pp/4p1b1/3pP3/8/2Pq3P/PP3QP1/R4R1K w - - 0 29"]1. f2 {f2f8 c8f8 g7f8q (1-0)} *
04wOM,3R1rk1/pp3ppp/1b6/8/8/4QN2/PPq2PPP/4R1K1 b - - 0 19,f8d8 e3e8 d8e8 e1e8,554,104,95,513,backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/0Eanj8dR/black#38,,3R2k1/pp3ppp/1b6/8/8/4QN2/PPq2PPP/4R1K1 w - - 0 19,e3e8 d8e8 e1e8,[Event "Mate in 2\\https://lichess.org/0Eanj8dR/black#38"][FEN "3R2k1/pp3ppp/1b6/8/8/4QN2/PPq2PPP/4R1K1 w - - 0 19"]1. e3 {e3e8 d8e8 e1e8 (1-0)} *
04wRt,r5kr/pppb4/1P2pQ1p/6p1/1n6/q3P1B1/3KNPPP/3R1B1R w - - 4 21,g3e5 a3d3 d2c1 d3c2,1425,75,100,746,master mate mateIn2 middlegame short,https://lichess.org/4l95EU50#41,,r5kr/pppb4/1P2pQ1p/4B1p1/1n6/q3P3/3KNPPP/3R1B1R b - - 4 21,a3d3 d2c1 d3c2,[Event "Mate in 2\\https://lichess.org/4l95EU50#41"][FEN "r5kr/pppb4/1P2pQ1p/4B1p1/1n6/q3P3/3KNPPP/3R1B1R b - - 4 21"]1. a3 {a3d3 d2c1 d3c2 (0-1)}  *
04wY8,1r2r3/3qP1pQ/5kBp/p7/3b1P1P/1p4P1/1P2R3/5R1K w - - 5 38,g6e8 d7h3 e2h2 h3f1,1400,99,79,67,fork mate mateIn2 middlegame short,https://lichess.org/p4xObJ6C#75,,1r2B3/3qP1pQ/5k1p/p7/3b1P1P/1p4P1/1P2R3/5R1K b - - 5 38,d7h3 e2h2 h3f1,[Event "Mate in 2\\https://lichess.org/p4xObJ6C#75"][FEN "1r2B3/3qP1pQ/5k1p/p7/3b1P1P/1p4P1/1P2R3/5R1K b - - 5 38"]1. d7 {d7h3 e2h2 h3f1 (0-1)}  *
04x6j,2r3k1/5ppp/Q3b3/2p1P3/prP5/1P2q3/P4NPP/3R1RK1 b - - 3 25,a4b3 a6c8 e6c8 d1d8,1118,176,100,21,backRankMate mate mateIn2 middlegame sacrifice short,https://lichess.org/JB9xYjVX/black#50,,2r3k1/5ppp/Q3b3/2p1P3/1rP5/1p2q3/P4NPP/3R1RK1 w - - 3 25,a6c8 e6c8 d1d8,[Event "Mate in 2\\https://lichess.org/JB9xYjVX/black#50"][FEN "2r3k1/5ppp/Q3b3/2p1P3/1rP5/1p2q3/P4NPP/3R1RK1 w - - 3 25"]1. a6 {a6c8 e6c8 d1d8 (1-0)} *
04xE4,4r1k1/1p3pp1/pN1p3p/5P2/6P1/P2b3P/qPP3Q1/2KR4 w - - 0 24,d1d3 a2a1 c1d2 a1e1,1664,75,86,140,endgame mate mateIn2 queensideAttack short,https://lichess.org/XfD3yYYd#47,,4r1k1/1p3pp1/pN1p3p/5P2/6P1/P2R3P/qPP3Q1/2K5 b - - 0 24,a2a1 c1d2 a1e1,[Event "Mate in 2\\https://lichess.org/XfD3yYYd#47"][FEN "4r1k1/1p3pp1/pN1p3p/5P2/6P1/P2R3P/qPP3Q1/2K5 b - - 0 24"]1. a2 {a2a1 c1d2 a1e1 (0-1)}  *
04xS4,r7/ppp2k2/2b5/2b1P3/5PP1/2P5/PP4P1/R1B2R1K w - - 0 28,f4f5 a8h8 c1h6 h8h6,1066,76,92,407,endgame mate mateIn2 short,https://lichess.org/JN4J9ZDa#55,,r7/ppp2k2/2b5/2b1PP2/6P1/2P5/PP4P1/R1B2R1K b - - 0 28,a8h8 c1h6 h8h6,[Event "Mate in 2\\https://lichess.org/JN4J9ZDa#55"][FEN "r7/ppp2k2/2b5/2b1PP2/6P1/2P5/PP4P1/R1B2R1K b - - 0 28"]1. a8 {a8h8 c1h6 h8h6 (0-1)}  *
