PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,NewFEN,NewMoves,PGNText
00LRq,1k6/1p1q4/P2p3p/1NpPpn1Q/5b2/2P3r1/1P2B1P1/R6K b - - 3 28,g3g7 a6a7 b8a8 b5c7 d7c7 h5e8 c7b8 a7b8q,2126,83,92,1595,advancedPawn doubleCheck mate mateIn4 middlegame promotion queensideAttack sacrifice veryLong,https://lichess.org/i9yxFCW9/black#56,,1k6/1p1q2r1/P2p3p/1NpPpn1Q/5b2/2P5/1P2B1P1/R6K w - - 3 28,a6a7 b8a8 b5c7 d7c7 h5e8 c7b8 a7b8q,[Event "Mate in 4\\https://lichess.org/i9yxFCW9/black#56"][FEN "1k6/1p1q2r1/P2p3p/1NpPpn1Q/5b2/2P5/1P2B1P1/R6K w - - 3 28"]1. a6 {a6a7 b8a8 b5c7 d7c7 h5e8 c7b8 a7b8q (1-0)} *
00O9Z,5QR1/5p1p/1b3qp1/p6k/P2P4/8/1P2rPPP/5RK1 w - - 7 32,g8h8 f6f2 f1f2 e2e1 f2f1 b6d4 g1h1 e1f1,1666,79,85,871,backRankMate deflection endgame fork master mate mateIn4 pin sacrifice veryLong,https://lichess.org/DKnGKRmQ#63,,5Q2/5p1p/1b3qp1/p6k/P2P4/8/1P2rPPP/5RK1 b - - 7 32,f6f2 f1f2 e2e1 f2f1 b6d4 g1h1 e1f1,[Event "Mate in 4\\https://lichess.org/DKnGKRmQ#63"][FEN "5Q2/5p1p/1b3qp1/p6k/P2P4/8/1P2rPPP/5RK1 b - - 7 32"]1. f6 {f6f2 f1f2 e2e1 f2f1 b6d4 g1h1 e1f1 (0-1)}  *
01FSC,4r3/5Qkp/p5pN/8/6P1/6KP/P1P1r3/8 b - - 0 34,g7h6 g4g5 h6h5 f7f3 h5g5 f3f4 g5h5 f4h4,2151,81,88,464,endgame mate mateIn4 queenRookEndgame veryLong,https://lichess.org/efFWEKnd/black#68,,4r3/5Q1p/p5pk/8/6P1/6KP/P1P1r3/8 w - - 0 34,g4g5 h6h5 f7f3 h5g5 f3f4 g5h5 f4h4,[Event "Mate in 4\\https://lichess.org/efFWEKnd/black#68"][FEN "4r3/5Q1p/p5pk/8/6P1/6KP/P1P1r3/8 w - - 0 34"]1. g4 {g4g5 h6h5 f7f3 h5g5 f3f4 g5h5 f4h4 (1-0)} *
01bxA,5rk1/p5pp/8/6N1/2Q5/8/Pq3P1P/1b3RK1 b - - 3 30,g8h8 g5f7 h8g8 f7h6 g8h8 c4g8 f8g8 h6f7,1659,81,77,944,doubleCheck endgame mate mateIn4 sacrifice smotheredMate veryLong,https://lichess.org/wWcUqm1E/black#60,,5r2/p5pp/8/6N1/2Q5/8/Pq3P1P/1b3RK1 w - - 3 30,g5f7 h8g8 f7h6 g8h8 c4g8 f8g8 h6f7,[Event "Mate in 4\\https://lichess.org/wWcUqm1E/black#60"][FEN "5r2/p5pp/8/6N1/2Q5/8/Pq3P1P/1b3RK1 w - - 3 30"]1. g5 {g5f7 h8g8 f7h6 g8h8 c4g8 f8g8 h6f7 (1-0)} *
01sj4,2r2r2/2q2pk1/5npp/p1p1pN2/1pb1P2N/3PQ3/PP3PPP/5RK1 b - - 1 22,g6f5 h4f5 g7g8 e3g3 f6g4 g3g4 g8h8 g4g7,1924,75,89,121,mate mateIn4 middlegame veryLong,https://lichess.org/LwGILHs2/black#44,,2r2r2/2q2pk1/5n1p/p1p1pp2/1pb1P2N/3PQ3/PP3PPP/5RK1 w - - 1 22,h4f5 g7g8 e3g3 f6g4 g3g4 g8h8 g4g7,[Event "Mate in 4\\https://lichess.org/LwGILHs2/black#44"][FEN "2r2r2/2q2pk1/5n1p/p1p1pp2/1pb1P2N/3PQ3/PP3PPP/5RK1 w - - 1 22"]1. h4 {h4f5 g7g8 e3g3 f6g4 g3g4 g8h8 g4g7 (1-0)} *
01utE,r1b2r1k/5pp1/p3p1B1/1p1p2p1/3q4/P7/1PQ2PK1/7R b - - 3 28,h8g8 g6h7 g8h8 h7g8 d4h4 h1h4 g5h4 c2h7,1425,79,85,194,discoveredAttack mate mateIn4 middlegame veryLong,https://lichess.org/Vx6I0drZ/black#56,,r1b2r2/5pp1/p3p1B1/1p1p2p1/3q4/P7/1PQ2PK1/7R w - - 3 28,g6h7 g8h8 h7g8 d4h4 h1h4 g5h4 c2h7,[Event "Mate in 4\\https://lichess.org/Vx6I0drZ/black#56"][FEN "r1b2r2/5pp1/p3p1B1/1p1p2p1/3q4/P7/1PQ2PK1/7R w - - 3 28"]1. g6 {g6h7 g8h8 h7g8 d4h4 h1h4 g5h4 c2h7 (1-0)} *
02W3t,1r2r1k1/1p3ppp/p4q2/2p1P3/2Q5/2P2R1P/PP4P1/5RK1 b - - 0 23,f6e5 c4f7 g8h8 f7f8 e8f8 f3f8 b8f8 f1f8,1308,81,76,146,backRankMate endgame mate mateIn4 sacrifice veryLong,https://lichess.org/TofvbPmM/black#46,,1r2r1k1/1p3ppp/p7/2p1q3/2Q5/2P2R1P/PP4P1/5RK1 w - - 0 23,c4f7 g8h8 f7f8 e8f8 f3f8 b8f8 f1f8,[Event "Mate in 4\\https://lichess.org/TofvbPmM/black#46"][FEN "1r2r1k1/1p3ppp/p7/2p1q3/2Q5/2P2R1P/PP4P1/5RK1 w - - 0 23"]1. c4 {c4f7 g8h8 f7f8 e8f8 f3f8 b8f8 f1f8 (1-0)} *
02kXd,r2q1r1k/p1p3pp/5p2/1bbN1P1Q/5R2/1B4B1/PPP3PP/7K b - - 2 21,b5e8 h5h7 h8h7 f4h4 e8h5 h4h5 h7g8 d5e7,1343,75,83,592,attraction doubleCheck kingsideAttack mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/ICFzYzcW/black#42,,r2qbr1k/p1p3pp/5p2/2bN1P1Q/5R2/1B4B1/PPP3PP/7K w - - 2 21,h5h7 h8h7 f4h4 e8h5 h4h5 h7g8 d5e7,[Event "Mate in 4\\https://lichess.org/ICFzYzcW/black#42"][FEN "r2qbr1k/p1p3pp/5p2/2bN1P1Q/5R2/1B4B1/PPP3PP/7K w - - 2 21"]1. h5 {h5h7 h8h7 f4h4 e8h5 h4h5 h7g8 d5e7 (1-0)} *
02ouU,2kr2nr/1pp1q2p/p2b2p1/1N1P1b2/2BPp3/Q7/PB3PPP/4R1K1 b - - 1 17,a6b5 a3a8 c8d7 c4b5 c7c6 b5c6 b7c6 a8c6,2300,82,89,1632,intermezzo mate mateIn4 middlegame queensideAttack veryLong xRayAttack,https://lichess.org/BfvOwgIY/black#34,Italian_Game Italian_Game_Evans_Gambit,2kr2nr/1pp1q2p/3b2p1/1p1P1b2/2BPp3/Q7/PB3PPP/4R1K1 w - - 1 17,a3a8 c8d7 c4b5 c7c6 b5c6 b7c6 a8c6,[Event "Mate in 4\\https://lichess.org/BfvOwgIY/black#34"][FEN "2kr2nr/1pp1q2p/3b2p1/1p1P1b2/2BPp3/Q7/PB3PPP/4R1K1 w - - 1 17"]1. a3 {a3a8 c8d7 c4b5 c7c6 b5c6 b7c6 a8c6 (1-0)} *
02owE,1nkr1qnr/1pp5/p2b1p2/3N2p1/2B1P1p1/4BN2/PPP1QPP1/R3R1K1 w - - 0 15,f3d2 h8h1 g1h1 f8h6 h1g1 h6h2 g1f1 h2h1,1914,77,87,102,attraction kingsideAttack mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/znnCpN8H#29,Philidor_Defense Philidor_Defense_Other_variations,1nkr1qnr/1pp5/p2b1p2/3N2p1/2B1P1p1/4B3/PPPNQPP1/R3R1K1 b - - 0 15,h8h1 g1h1 f8h6 h1g1 h6h2 g1f1 h2h1,[Event "Mate in 4\\https://lichess.org/znnCpN8H#29"][FEN "1nkr1qnr/1pp5/p2b1p2/3N2p1/2B1P1p1/4B3/PPPNQPP1/R3R1K1 b - - 0 15"]1. h8 {h8h1 g1h1 f8h6 h1g1 h6h2 g1f1 h2h1 (0-1)}  *
