PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,NewFEN,NewMoves,PGNText
0306X,3r1k2/2Q2ppp/2R5/1B2r3/8/4BP2/PPP3qP/2K5 w - - 1 23,c7e5 g2h1 e3g1 h1g1 b5f1 g1f1 e5e1 f1e1,1489,75,100,377,endgame mate mateIn4 veryLong,https://lichess.org/s3eE0tnm#45,,3r1k2/5ppp/2R5/1B2Q3/8/4BP2/PPP3qP/2K5 b - - 1 23,g2h1 e3g1 h1g1 b5f1 g1f1 e5e1 f1e1,[Event "Mate in 4\\https://lichess.org/s3eE0tnm#45"][FEN "3r1k2/5ppp/2R5/1B2Q3/8/4BP2/PPP3qP/2K5 b - - 1 23"]1. g2 {g2h1 e3g1 h1g1 b5f1 g1f1 e5e1 f1e1 (0-1)}  *
036SV,5r2/1R4bk/3p1qp1/2p1p2p/2P1B3/r2PQ3/5PPP/5RK1 w - - 2 23,e3h3 f6f2 f1f2 a3a1 b7b1 a1b1 f2f1 b1f1,1340,76,77,630,kingsideAttack mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/B9evmwEG#45,,5r2/1R4bk/3p1qp1/2p1p2p/2P1B3/r2P4/5PPP/5RK1 b - - 2 23,f6f2 f1f2 a3a1 b7b1 a1b1 f2f1 b1f1,[Event "Mate in 4\\https://lichess.org/B9evmwEG#45"][FEN "5r2/1R4bk/3p1qp1/2p1p2p/2P1B3/r2P4/5PPP/5RK1 b - - 2 23"]1. f6 {f6f2 f1f2 a3a1 b7b1 a1b1 f2f1 b1f1 (0-1)}  *
037D4,r1b2rk1/1p2Qppp/p2p4/3P4/5R2/3q4/P5PP/5R1K b - - 1 22,b7b5 e7f8 g8f8 f4f7 f8e8 f7f8 e8d7 f1f7,2073,76,91,281,attraction mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/7U0oOuMN/black#44,,r1b2rk1/4Qppp/p2p4/1p1P4/5R2/3q4/P5PP/5R1K w - - 1 22,e7f8 g8f8 f4f7 f8e8 f7f8 e8d7 f1f7,[Event "Mate in 4\\https://lichess.org/7U0oOuMN/black#44"][FEN "r1b2rk1/4Qppp/p2p4/1p1P4/5R2/3q4/P5PP/5R1K w - - 1 22"]1. e7 {e7f8 g8f8 f4f7 f8e8 f7f8 e8d7 f1f7 (1-0)} *
03CZE,r1bq1r1k/2p1b2p/p1np2p1/1p2p1P1/n3PN2/P1PP1Q2/BP3P2/RNB1K2R b KQ - 1 15,e5f4 h1h7 h8h7 f3h1 c8h3 h1h3 h7g7 h3h6,1815,75,96,2108,attraction kingsideAttack mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/M6jpbGRG/black#30,Bishops_Opening Bishops_Opening_Other_variations,r1bq1r1k/2p1b2p/p1np2p1/1p4P1/n3Pp2/P1PP1Q2/BP3P2/RNB1K2R w KQ - 1 15,h1h7 h8h7 f3h1 c8h3 h1h3 h7g7 h3h6,[Event "Mate in 4\\https://lichess.org/M6jpbGRG/black#30"][FEN "r1bq1r1k/2p1b2p/p1np2p1/1p4P1/n3Pp2/P1PP1Q2/BP3P2/RNB1K2R w KQ - 1 15"]1. h1 {h1h7 h8h7 f3h1 c8h3 h1h3 h7g7 h3h6 (1-0)} *
03I6j,r2q3k/4bBpp/p7/1pp2P2/3nn3/7Q/PPP3PP/R1B2RK1 w - - 0 19,c2c3 d4e2 g1h1 e4f2 f1f2 d8d1 f2f1 d1f1,1312,75,93,206,kingsideAttack mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/8IJOh9fa#37,,r2q3k/4bBpp/p7/1pp2P2/3nn3/2P4Q/PP4PP/R1B2RK1 b - - 0 19,d4e2 g1h1 e4f2 f1f2 d8d1 f2f1 d1f1,[Event "Mate in 4\\https://lichess.org/8IJOh9fa#37"][FEN "r2q3k/4bBpp/p7/1pp2P2/3nn3/2P4Q/PP4PP/R1B2RK1 b - - 0 19"]1. d4 {d4e2 g1h1 e4f2 f1f2 d8d1 f2f1 d1f1 (0-1)}  *
03VQ8,2kr3r/qp3p2/p1pB2p1/Q2pPp2/5P2/PR6/1P4pP/2R4K w - - 0 28,h1g2 h8h2 g2h2 a7f2 h2h1 d8h8 b3h3 h8h3,1542,75,89,679,attraction mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/V4BOo0LO#55,,2kr3r/qp3p2/p1pB2p1/Q2pPp2/5P2/PR6/1P4KP/2R5 b - - 0 28,h8h2 g2h2 a7f2 h2h1 d8h8 b3h3 h8h3,[Event "Mate in 4\\https://lichess.org/V4BOo0LO#55"][FEN "2kr3r/qp3p2/p1pB2p1/Q2pPp2/5P2/PR6/1P4KP/2R5 b - - 0 28"]1. h8 {h8h2 g2h2 a7f2 h2h1 d8h8 b3h3 h8h3 (0-1)}  *
03VdR,5r2/5r1k/5R1p/p1p5/1p2Q3/1P1P1pP1/P1PK3P/5q2 b - - 1 38,h7g7 e4g6 g7h8 g6h6 h8g8 f6g6 f7g7 g6g7,1394,77,84,91,deflection endgame mate mateIn4 veryLong,https://lichess.org/nyPhW4BI/black#76,,5r2/5r2/5R1p/p1p5/1p2Q3/1P1P1pP1/P1PK3P/5q2 w - - 1 38,e4g6 g7h8 g6h6 h8g8 f6g6 f7g7 g6g7,[Event "Mate in 4\\https://lichess.org/nyPhW4BI/black#76"][FEN "5r2/5r2/5R1p/p1p5/1p2Q3/1P1P1pP1/P1PK3P/5q2 w - - 1 38"]1. e4 {e4g6 g7h8 g6h6 h8g8 f6g6 f7g7 g6g7 (1-0)} *
03bxv,r1r5/p4pkp/4p3/2BpNq2/1P6/5P2/4K3/6Q1 b - - 1 31,g7h8 e5f7 f5f7 c5d4 e6e5 d4e5 f7f6 e5f6,1802,75,93,531,endgame mate mateIn4 sacrifice veryLong,https://lichess.org/LJqZYXGA/black#62,,r1r4k/p4p1p/4p3/2BpNq2/1P6/5P2/4K3/6Q1 w - - 1 31,e5f7 f5f7 c5d4 e6e5 d4e5 f7f6 e5f6,[Event "Mate in 4\\https://lichess.org/LJqZYXGA/black#62"][FEN "r1r4k/p4p1p/4p3/2BpNq2/1P6/5P2/4K3/6Q1 w - - 1 31"]1. e5 {e5f7 f5f7 c5d4 e6e5 d4e5 f7f6 e5f6 (1-0)} *
042fY,2r3k1/5ppp/8/4p1N1/3n4/3n4/P4PPP/1R3RK1 w - - 0 22,b1b7 d4e2 g1h1 d3f2 f1f2 c8c1 f2f1 c1f1,1269,78,87,1114,backRankMate deflection endgame mate mateIn4 sacrifice veryLong,https://lichess.org/mNvYqaC8#43,,2r3k1/1R3ppp/8/4p1N1/3n4/3n4/P4PPP/5RK1 b - - 0 22,d4e2 g1h1 d3f2 f1f2 c8c1 f2f1 c1f1,[Event "Mate in 4\\https://lichess.org/mNvYqaC8#43"][FEN "2r3k1/1R3ppp/8/4p1N1/3n4/3n4/P4PPP/5RK1 b - - 0 22"]1. d4 {d4e2 g1h1 d3f2 f1f2 c8c1 f2f1 c1f1 (0-1)}  *
04g7p,2r1NQ2/5p1k/4p1p1/3pB2p/1p1Pq3/4P1P1/5PKP/8 w - - 4 35,f2f3 c8c2 g2h3 e4f5 g3g4 f5f3 e5g3 f3g4,1909,74,90,1246,endgame mate mateIn4 veryLong,https://lichess.org/yVA5QqaU#69,,2r1NQ2/5p1k/4p1p1/3pB2p/1p1Pq3/4PPP1/6KP/8 b - - 4 35,c8c2 g2h3 e4f5 g3g4 f5f3 e5g3 f3g4,[Event "Mate in 4\\https://lichess.org/yVA5QqaU#69"][FEN "2r1NQ2/5p1k/4p1p1/3pB2p/1p1Pq3/4PPP1/6KP/8 b - - 4 35"]1. c8 {c8c2 g2h3 e4f5 g3g4 f5f3 e5g3 f3g4 (0-1)}  *
04hpo,8/8/5k2/1B3ppp/P7/4R1PP/r4K2/8 w - - 6 42,f2f3 g5g4 h3g4 h5g4 f3f4 a2f2 e3f3 f2f3,1414,76,86,1079,endgame mate mateIn4 veryLong,https://lichess.org/8t2c2FNC#83,,8/8/5k2/1B3ppp/P7/4RKPP/r7/8 b - - 6 42,g5g4 h3g4 h5g4 f3f4 a2f2 e3f3 f2f3,[Event "Mate in 4\\https://lichess.org/8t2c2FNC#83"][FEN "8/8/5k2/1B3ppp/P7/4RKPP/r7/8 b - - 6 42"]1. g5 {g5g4 h3g4 h5g4 f3f4 a2f2 e3f3 f2f3 (0-1)}  *
04nDo,2r1r1k1/2q2pb1/p3p1p1/1p6/4N1P1/5P2/PPPQ3R/2K4R b - - 2 23,e8d8 h2h8 g7h8 h1h8 g8h8 d2h6 h8g8 e4f6,1808,75,94,3740,attraction kingsideAttack mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/PwAPprkK/black#46,,2r3k1/2q2pb1/p3p1p1/1p6/4N1P1/5P2/PPPQ3R/2K4R w - - 2 23,h2h8 g7h8 h1h8 g8h8 d2h6 h8g8 e4f6,[Event "Mate in 4\\https://lichess.org/PwAPprkK/black#46"][FEN "2r3k1/2q2pb1/p3p1p1/1p6/4N1P1/5P2/PPPQ3R/2K4R w - - 2 23"]1. h2 {h2h8 g7h8 h1h8 g8h8 d2h6 h8g8 e4f6 (1-0)} *
04p5R,2r5/1k4q1/2pRp3/ppQ1Pp1p/8/2P1P3/PP3PrP/3R2K1 w - - 0 30,g1f1 g2g1 f1e2 g7g4 f2f3 g4g2 e2d3 g1d1,1258,243,88,18,deflection endgame mate mateIn4 veryLong,https://lichess.org/9vFqJ15K#59,,2r5/1k4q1/2pRp3/ppQ1Pp1p/8/2P1P3/PP3PrP/3R4 b - - 0 30,g2g1 f1e2 g7g4 f2f3 g4g2 e2d3 g1d1,[Event "Mate in 4\\https://lichess.org/9vFqJ15K#59"][FEN "2r5/1k4q1/2pRp3/ppQ1Pp1p/8/2P1P3/PP3PrP/3R4 b - - 0 30"]1. g2 {g2g1 f1e2 g7g4 f2f3 g4g2 e2d3 g1d1 (0-1)}  *
05DXA,3r1rk1/q3bppp/2p1p3/1p2B3/1n1P4/3B1P2/PPP2P1P/R5RK b - - 3 21,b4d3 g1g7 g8h8 g7g8 h8g8 a1g1 e7g5 g1g5,2174,76,91,3454,attraction doubleCheck kingsideAttack mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/LxCZiFJa/black#42,,3r1rk1/q3bppp/2p1p3/1p2B3/3P4/3n1P2/PPP2P1P/R5RK w - - 3 21,g1g7 g8h8 g7g8 h8g8 a1g1 e7g5 g1g5,[Event "Mate in 4\\https://lichess.org/LxCZiFJa/black#42"][FEN "3r1rk1/q3bppp/2p1p3/1p2B3/3P4/3n1P2/PPP2P1P/R5RK w - - 3 21"]1. g1 {g1g7 g8h8 g7g8 h8g8 a1g1 e7g5 g1g5 (1-0)} *
05OvV,4Q1k1/1pr2rp1/6p1/pBPp4/Pn1P4/1P3Pq1/1K6/2R4R b - - 3 35,f7f8 h1h8 g8h8 e8f8 h8h7 c1h1 g3h2 h1h2,1521,75,100,217,attraction deflection kingsideAttack mate mateIn4 middlegame pin veryLong,https://lichess.org/6yO6VDmi/black#70,,4Qrk1/1pr3p1/6p1/pBPp4/Pn1P4/1P3Pq1/1K6/2R4R w - - 3 35,h1h8 g8h8 e8f8 h8h7 c1h1 g3h2 h1h2,[Event "Mate in 4\\https://lichess.org/6yO6VDmi/black#70"][FEN "4Qrk1/1pr3p1/6p1/pBPp4/Pn1P4/1P3Pq1/1K6/2R4R w - - 3 35"]1. h1 {h1h8 g8h8 e8f8 h8h7 c1h1 g3h2 h1h2 (1-0)} *
05iJw,8/6R1/1kp2R2/p7/1pp5/P1P5/KP5r/8 w - - 0 48,g7g6 b4b3 a2a1 h2h1 g6g1 h1g1 f6f1 g1f1,1076,85,76,105,endgame mate mateIn4 rookEndgame veryLong,https://lichess.org/wJoikUza#95,,8/8/1kp2RR1/p7/1pp5/P1P5/KP5r/8 b - - 0 48,b4b3 a2a1 h2h1 g6g1 h1g1 f6f1 g1f1,[Event "Mate in 4\\https://lichess.org/wJoikUza#95"][FEN "8/8/1kp2RR1/p7/1pp5/P1P5/KP5r/8 b - - 0 48"]1. b4 {b4b3 a2a1 h2h1 g6g1 h1g1 f6f1 g1f1 (0-1)}  *
05nDj,6R1/1pr4p/pR6/5pk1/5n2/r1P2P2/P5PP/6K1 b - - 1 32,g5h5 g2g4 f5g4 f3g4 h5h4 b6h6 f4h5 h6h5,1135,76,99,1053,endgame mate mateIn4 veryLong,https://lichess.org/I77hMqJF/black#64,,6R1/1pr4p/pR6/5p2/5n2/r1P2P2/P5PP/6K1 w - - 1 32,g2g4 f5g4 f3g4 h5h4 b6h6 f4h5 h6h5,[Event "Mate in 4\\https://lichess.org/I77hMqJF/black#64"][FEN "6R1/1pr4p/pR6/5p2/5n2/r1P2P2/P5PP/6K1 w - - 1 32"]1. g2 {g2g4 f5g4 f3g4 h5h4 b6h6 f4h5 h6h5 (1-0)} *
062e9,8/4R1pp/5pk1/1ppb4/5PPP/8/2r2B2/6K1 b - - 0 37,c5c4 f4f5 g6h6 f2e3 g7g5 f5g6 h6g6 h4h5,2120,73,93,162006,attraction discoveredAttack enPassant endgame mate mateIn4 veryLong,https://lichess.org/osvRxufn/black#74,,8/4R1pp/5pk1/1p1b4/2p2PPP/8/2r2B2/6K1 w - - 0 37,f4f5 g6h6 f2e3 g7g5 f5g6 h6g6 h4h5,[Event "Mate in 4\\https://lichess.org/osvRxufn/black#74"][FEN "8/4R1pp/5pk1/1p1b4/2p2PPP/8/2r2B2/6K1 w - - 0 37"]1. f4 {f4f5 g6h6 f2e3 g7g5 f5g6 h6g6 h4h5 (1-0)} *
06FI0,5rk1/2p4p/1p1pN1p1/3Pp3/2P1R3/3Q4/r4qPP/R6K w - - 2 27,a1g1 f2g1 h1g1 a2a1 e4e1 a1e1 d3f1 e1f1,1382,77,93,3797,attraction mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/N0jNKOCH#53,,5rk1/2p4p/1p1pN1p1/3Pp3/2P1R3/3Q4/r4qPP/7K b - - 2 27,f2g1 h1g1 a2a1 e4e1 a1e1 d3f1 e1f1,[Event "Mate in 4\\https://lichess.org/N0jNKOCH#53"][FEN "5rk1/2p4p/1p1pN1p1/3Pp3/2P1R3/3Q4/r4qPP/7K b - - 2 27"]1. f2 {f2g1 h1g1 a2a1 e4e1 a1e1 d3f1 e1f1 (0-1)}  *
06LQW,r4Bk1/pp3p2/7p/3N2p1/2BpPbbq/2P5/PPQ2KP1/R3R3 w - - 1 27,f2g1 h4h2 g1f1 h2h1 f1f2 f4g3 f2g3 h1h4,2380,81,92,4399,attraction kingsideAttack mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/shauT8zr#53,,r4Bk1/pp3p2/7p/3N2p1/2BpPbbq/2P5/PPQ3P1/R3R1K1 b - - 1 27,h4h2 g1f1 h2h1 f1f2 f4g3 f2g3 h1h4,[Event "Mate in 4\\https://lichess.org/shauT8zr#53"][FEN "r4Bk1/pp3p2/7p/3N2p1/2BpPbbq/2P5/PPQ3P1/R3R1K1 b - - 1 27"]1. h4 {h4h2 g1f1 h2h1 f1f2 f4g3 f2g3 h1h4 (0-1)}  *
06NfA,4r1k1/1p3p2/p3r1p1/3pq3/3R4/1PB3Pb/PQ2P2P/4R1K1 w - - 0 28,d4h4 e5e3 g1h1 e3f3 e2f3 e6e1 c3e1 e8e1,2046,91,58,27,discoveredAttack kingsideAttack mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/2GiOAs2B#55,,4r1k1/1p3p2/p3r1p1/3pq3/8/1PB3Pb/PQ2P2P/4R1K1 b - - 0 28,e5e3 g1h1 e3f3 e2f3 e6e1 c3e1 e8e1,[Event "Mate in 4\\https://lichess.org/2GiOAs2B#55"][FEN "4r1k1/1p3p2/p3r1p1/3pq3/8/1PB3Pb/PQ2P2P/4R1K1 b - - 0 28"]1. e5 {e5e3 g1h1 e3f3 e2f3 e6e1 c3e1 e8e1 (0-1)}  *
06S7w,5rk1/pp3rbp/4R1p1/2qp4/6n1/1P1B2Q1/PBP2PPP/1R4K1 w - - 1 20,g3g4 c5f2 g1h1 f2f1 d3f1 f7f1 b1f1 f8f1,990,81,100,105,backRankMate mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/YFKd6hcr#39,,5rk1/pp3rbp/4R1p1/2qp4/6Q1/1P1B4/PBP2PPP/1R4K1 b - - 1 20,c5f2 g1h1 f2f1 d3f1 f7f1 b1f1 f8f1,[Event "Mate in 4\\https://lichess.org/YFKd6hcr#39"][FEN "5rk1/pp3rbp/4R1p1/2qp4/6Q1/1P1B4/PBP2PPP/1R4K1 b - - 1 20"]1. c5 {c5f2 g1h1 f2f1 d3f1 f7f1 b1f1 f8f1 (0-1)}  *
06gwJ,r1b1qbr1/ppp1pNk1/1n1pP1pp/4Q3/7P/1P6/PBPP1PP1/RN2K2R b KQ - 0 14,d6e5 b2e5 g7h7 f7g5 h6g5 h4g5 f8h6 h1h6,1330,86,75,54,discoveredAttack master mate mateIn4 opening veryLong,https://lichess.org/0HTMQLZq/black#28,Alekhine_Defense Alekhine_Defense_Normal_Variation,r1b1qbr1/ppp1pNk1/1n2P1pp/4p3/7P/1P6/PBPP1PP1/RN2K2R w KQ - 0 14,b2e5 g7h7 f7g5 h6g5 h4g5 f8h6 h1h6,[Event "Mate in 4\\https://lichess.org/0HTMQLZq/black#28"][FEN "r1b1qbr1/ppp1pNk1/1n2P1pp/4p3/7P/1P6/PBPP1PP1/RN2K2R w KQ - 0 14"]1. b2 {b2e5 g7h7 f7g5 h6g5 h4g5 f8h6 h1h6 (1-0)} *
06jka,5Q2/Rbk3p1/1p1p2qp/2p1p3/4P2b/1P1PB3/1PPK3P/8 w - - 2 25,f8a8 g6g2 d2c3 h4e1 c3c4 g2c2 c4b5 c2b3,1384,75,82,173,deflection endgame mate mateIn4 veryLong,https://lichess.org/2YPkRFDe#49,,8/Rbk3p1/1p1p2qp/2p1p3/4P2b/1P1PB3/1PPK3P/8 b - - 2 25,g6g2 d2c3 h4e1 c3c4 g2c2 c4b5 c2b3,[Event "Mate in 4\\https://lichess.org/2YPkRFDe#49"][FEN "8/Rbk3p1/1p1p2qp/2p1p3/4P2b/1P1PB3/1PPK3P/8 b - - 2 25"]1. g6 {g6g2 d2c3 h4e1 c3c4 g2c2 c4b5 c2b3 (0-1)}  *
06o2P,5r2/p5R1/2pp1r2/4bP1k/8/2PB2p1/PP3pP1/3K1R2 b - - 4 39,h5h6 g7g4 h6h7 f1h1 f6h6 f5f6 h7h8 h1h6,2101,77,94,1633,deflection discoveredAttack endgame exposedKing mate mateIn4 pin veryLong,https://lichess.org/q5rQKjeL/black#78,,5r2/p5R1/2pp1r1k/4bP2/8/2PB2p1/PP3pP1/3K1R2 w - - 4 39,g7g4 h6h7 f1h1 f6h6 f5f6 h7h8 h1h6,[Event "Mate in 4\\https://lichess.org/q5rQKjeL/black#78"][FEN "5r2/p5R1/2pp1r1k/4bP2/8/2PB2p1/PP3pP1/3K1R2 w - - 4 39"]1. g7 {g7g4 h6h7 f1h1 f6h6 f5f6 h7h8 h1h6 (1-0)} *
